dt,sber_close,hedge_close,ofz40_close,ofz41_close,beta,z,vol_scale,spread_vol,regime,pos_dir,pos_change,sber_qty,ofz40_qty,ofz41_qty,pnl_price,pnl_carry,pnl_commission,pnl_total,pnl_cum,pnl_cum_max,drawdown,ret
2025-01-03 10:00:00,279.54,66.21000000000001,59.991,72.429,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:05:00,278.4,66.14750000000001,59.928,72.367,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:10:00,278.4,66.399,60.377,72.421,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:15:00,278.31,66.215,60.013,72.417,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:20:00,277.8,66.206,60.1,72.312,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:25:00,276.89,66.257,60.1,72.414,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:30:00,277.47,66.3885,60.367,72.41,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:35:00,277.48,66.285,60.2,72.37,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:40:00,276.87,66.2,60.1,72.3,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:45:00,276.07,66.31,60.32,72.3,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:50:00,275.74,66.31,60.32,72.3,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 10:55:00,275.8,66.0295,59.7,72.359,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:00:00,275.11,66.0445,59.79,72.299,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:05:00,274.68,66.014,59.779,72.249,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:10:00,275.02,65.865,59.65,72.08,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:15:00,275.15,65.8845,59.602,72.167,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:20:00,275.27,65.84100000000001,59.512,72.17,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:25:00,275.22,65.8315,59.563,72.1,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:30:00,274.9,65.881,59.494,72.268,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:35:00,275.75,65.83,59.46,72.2,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:40:00,275.4,65.798,59.464,72.132,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:45:00,275.59,65.8925,59.529,72.256,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03 11:50:00,275.38,65.8695,59.539,72.2,0.0,0.0,0.25,,sideways,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
